Note,Length,Starting_Frame
A1,8,2436
A1,9,2574
A1,8,2713
A1,9,2851
A1,8,2990
A1,9,3128
A1,8,3266
A2,3,262
A2,4,400
A2,4,538
A2,4,677
A2,4,814
A2,4,953
A2,4,1091
A2,4,1230
A2,4,1368
A2,8,1631
A2,9,1700
A2,8,1908
A2,9,1977
A2,8,2255
A2,4,2337
A2,4,2475
A2,4,2613
A2,4,2752
A2,4,2890
A2,4,3029
A2,4,3167
A2,4,3305
A2,8,3569
A2,8,3638
A2,9,3845
A2,8,3915
A2,8,4191
A2,8,4468
A2,8,4745
A2,9,5020
A2,17,5124
A2,8,5505
A2,9,5574
A2,8,5781
A2,8,5850
A2,8,6128
A2,8,6404
A2,8,6681
A2,8,6958
A2,17,7062
A2,12,7217
A2,55,7230
A3,4,400
A3,8,465
A3,8,534
A3,8,586
A3,8,621
A3,4,677
A3,8,742
A3,8,759
A3,4,794
A3,8,810
A3,9,827
A3,8,862
A3,8,897
A3,8,1182
A3,17,1381
A3,9,1450
A3,9,2073
A3,8,2402
A3,8,2419
A3,8,2471
A3,9,2522
A3,8,2557
A3,9,2678
A3,9,2747
A3,8,2765
A3,8,3120
A3,17,3318
A3,8,3387
A3,8,4009
A3,8,4286
A3,17,5332
A3,9,5945
A3,9,6223
A4,9,1450
A4,8,1507
A4,17,1605
A4,12,1627
A4,9,1648
A4,25,1692
A4,8,1718
A4,4,1757
A4,8,1783
A4,17,1882
A4,12,1904
A4,9,1925
A4,17,1969
A4,8,1995
A4,18,2090
A4,17,2229
A4,4,2268
A4,9,2825
A4,4,3176
A4,8,3387
A4,8,3443
A4,17,3543
A4,4,3564
A4,8,3569
A4,8,3586
A4,8,3629
A4,25,3638
A4,4,3694
A4,8,3720
A4,16,3820
A4,4,3841
A4,8,3846
A4,8,3863
A4,8,3906
A4,8,3915
A4,8,3932
A4,17,4026
A4,17,4165
A4,4,4204
A4,17,4303
A4,17,4442
A4,4,4481
A4,8,4563
A4,17,4623
A4,8,4701
A4,17,4762
A4,8,4788
A4,8,4839
A4,17,4899
A4,16,4969
A4,8,5380
A4,17,5479
A4,12,5501
A4,9,5522
A4,25,5566
A4,8,5592
A4,3,5630
A4,3,5656
A4,4,5660
A4,17,5755
A4,12,5777
A4,9,5798
A4,16,5842
A4,8,5868
A4,17,5963
A4,16,6102
A4,4,6141
A4,17,6241
A4,17,6379
A4,4,6417
A4,9,6499
A4,17,6560
A4,8,6638
A4,17,6698
A4,9,6724
A4,8,6776
A4,17,6837
A4,17,6906
B2,8,1494
B2,8,1770
B2,8,2047
B2,8,3430
B2,8,3707
B2,8,3984
B2,8,4260
B2,8,4537
B2,8,4813
B2,34,5090
B2,17,5263
B2,8,5367
B2,9,5642
B2,9,5919
B2,9,6197
B2,9,6473
B2,8,6750
B2,34,7027
B2,16,7200
B3,25,370
B3,4,396
B3,9,404
B3,17,422
B3,16,448
B3,16,474
B3,17,491
B3,12,517
B3,4,530
B3,34,543
B3,25,647
B3,3,673
B3,8,681
B3,16,699
B3,17,724
B3,9,750
B3,17,768
B3,12,798
B3,8,819
B3,17,836
B3,38,923
B3,4,1039
B3,12,1044
B3,8,1070
B3,47,1191
B3,4,1316
B3,12,1321
B3,8,1347
B3,8,2212
B3,34,2307
B3,8,2342
B3,17,2359
B3,8,2385
B3,8,2394
B3,8,2410
B3,17,2427
B3,17,2453
B3,17,2479
B3,16,2497
B3,34,2583
B3,8,2618
B3,17,2635
B3,8,2661
B3,8,2670
B3,34,2687
B3,8,2730
B3,8,2739
B3,8,2756
B3,17,2773
B3,39,2860
B3,12,2977
B3,4,2990
B3,8,3007
B3,47,3128
B3,12,3253
B3,4,3266
B3,8,3283
B3,9,4147
B3,9,4424
B3,16,4520
B3,25,4537
B3,16,4796
B3,25,4813
B3,8,5064
B3,52,5280
B3,8,6085
B3,8,6362
B3,34,6456
B3,8,6491
B3,25,6733
B3,8,6759
B3,8,6768
B3,8,7001
B4,4,1502
B4,7,1598
B4,8,1640
B4,12,1744
B4,4,1778
B4,9,1873
B4,8,1917
B4,8,1986
B4,8,2082
B4,17,2117
B4,8,2221
B4,13,2255
B4,8,3180
B4,4,3439
B4,8,3534
B4,9,3577
B4,13,3681
B4,4,3716
B4,8,3811
B4,8,3854
B4,9,3923
B4,8,4018
B4,17,4052
B4,8,4156
B4,12,4191
B4,8,4295
B4,17,4329
B4,8,4433
B4,12,4468
B4,8,4779
B4,8,5064
B4,4,5375
B4,9,5470
B4,8,5514
B4,12,5617
B4,4,5651
B4,9,5746
B4,8,5790
B4,8,5859
B4,8,5954
B4,17,5989
B4,8,6094
B4,13,6128
B4,8,6232
B4,17,6267
B4,9,6370
B4,13,6404
B4,8,6716
B4,8,7001
C1,17,1546
C1,8,1657
C1,13,1670
C1,17,1821
C1,8,1934
C1,13,1947
C1,18,2098
C1,8,2143
C1,12,2156
C1,17,2169
C1,17,2376
C1,17,2514
C1,17,2652
C1,17,2791
C1,17,2929
C1,17,3068
C1,17,3205
C1,68,3344
C1,17,3482
C1,8,3595
C1,12,3608
C1,17,3759
C1,9,3871
C1,13,3884
C1,17,4035
C1,8,4078
C1,30,4091
C1,17,4312
C1,8,4355
C1,30,4368
C1,17,4589
C1,8,4632
C1,30,4645
C1,17,4865
C1,8,4908
C1,30,4921
C1,34,5142
C1,8,5185
C1,12,5198
C1,34,5211
C1,17,5418
C1,8,5531
C1,13,5544
C1,17,5694
C1,8,5807
C1,13,5820
C1,17,5971
C1,8,6015
C1,12,6028
C1,16,6042
C1,17,6249
C1,8,6293
C1,29,6306
C1,17,6525
C1,9,6568
C1,30,6581
C1,17,6802
C1,9,6845
C1,30,6858
C1,34,7079
C1,9,7122
C1,48,7135
C2,17,300
C2,17,439
C2,17,577
C2,17,716
C2,17,853
C2,17,992
C2,17,1130
